PROGRAM_ID;PARAMETER;START_YEAR;END_YEAR;METHOD;METHOD_DESCRIPTION
LTM_CAT;COND;1992;2008,43083;EPA 1987 sec 23;Electrometric.
LTM_CAT;ANC;1992;2008,43083;EPA 1987 sec 5.0;Automated Gran titration.
LTM_CAT;SIO2;1992;2008,43083;EPA 200.7 rev 4.4;ICP-AES.
LTM_CAT;Inconnu;1992;2008,43083;EPA 200.7 rev 4.4;ICP-AES.
LTM_CAT;MG;1992;2008,43083;EPA 200.7 rev 4.4;ICP-AES.
LTM_CAT;K;1992;2008,43083;EPA 200.7 rev 4.4;ICP-AES.
LTM_CAT;CA;1992;2008,43083;EPA 200.7 rev 4.4;ICP-AES.
LTM_CAT;AL_TL;1992;2008,43083;EPA 200.7 rev 4.4;ICP-AES.
LTM_CAT;CL;1992;2008,43083;EPA 300.0 rev 2.1;Ion Chromatography. 
LTM_CAT;NO3;1992;2008,43083;EPA 300.0 rev 2.1;Ion Chromatography. 
LTM_CAT;SO4;1992;2008,43083;EPA 300.0 rev 2.1;Ion Chromatography. 
LTM_CAT;NH4;1992;2008,43083;EPA 350.1 rev 2.0;ICP-AES.
LTM_CAT;DIC;1992;2008,43083;EPA 415.2;UV/Oxidation.
LTM_CAT;DOC;1992;2008,43083;EPA 415.2;UV/Persulfate Oxidation.
LTM_CAT;AL_MON;1992;2008,43083;Lachat Instruments 10-113-33-1-A;Colorimetric, PVC.
LTM_CAT;AL_ORG;1992;2008,43083;Lachat Instruments 10-113-33-1-B;Colorimetric, PVC.
LTM_CAT;F;1992;2008,43083;Unknown;Unknown
LTM_CAT;ORGION;1992;2008,43083;Unknown;Unknown
LTM_CAT;PH_FLD;1992;2008,43083;Unknown;Unknown
LTM_CAT;WTEMP;1992;2008,43083;Unknown;Unknown
LTM_VT;SIO2;1992;2014;APHA , 2005 4500-SiO₂F;APHA .2005. Standard Methods for the examination of water and wastewater, 21st Ed. American Public Health Association, American Waterworks Association, Water Environment Federation, Washington, D.C.
LTM_VT;COND;1992;2014;APHA 2510B;APHA .2005. Standard Methods for the examination of water and wastewater, 21st Ed. American Public Health Association, American Waterworks Association, Water Environment Federation, Washington, D.C.
LTM_VT;PH_STVL;1992;2014;APHA 4500-HB;APHA .2005. Standard Methods for the examination of water and wastewater, 21st Ed. American Public Health Association, American Waterworks Association, Water Environment Federation, Washington, D.C.
LTM_VT;WTEMP;1992;2014;APHA, 1998 Section 2550B;APHA. 1998. Standard methods for the examinatino of water and wastewater, 20th edition. American Public Health Association, American Water Works Association, Water Environment Federation, Washington D.C.
LTM_VT;COLOR_APP;1992;2014;APHA, 2005 2120B;APHA .2005. Standard Methods for the examination of water and wastewater, 21st Ed. American Public Health Association, American Waterworks Association, Water Environment Federation, Washington, D.C.
LTM_VT;DOC;1992;2014;APHA, 2005 5310C;APHA .2005. Standard Methods for the examination of water and wastewater, 21st Ed. American Public Health Association, American Waterworks Association, Water Environment Federation, Washington, D.C.
LTM_VT;COLOR_TRU;1992;2014;Black and Christman, 1963;Black, A.P. and R.F. Christman. 1963. Characteristics of colored surface waters. Jour. AWWA, June 1963. 
LTM_VT;ANC;1992;2014;Pfeiffer and Festa, 1980 ;Pfeiffer, M. and P.J. Festa. 1980. Acidity status of lakes in the Adirondack Region of New York in relation to fish resource. NY DEC.
LTM_VT;PH_FLD;1992;2014;USEPA, 1983 Method 150.1;USEPA. 1983. Methods for chemical analysis of water and wastes. EPA-600/4-79-020.
LTM_VT;SECCHI;1992;2014;USEPA, 1989 Method 11.0;USEPA. 1989. Handbook of methods for acid deposition studies. Field methods for surface water studies. EPA-600/4-89-020.
LTM_VT;NO3;1992;2014;USEPA, 1993 Method 300.0;USEPA. 1993. Methods for the determination of inorganic substances in envrionmental samples. A/600/R-93/100
LTM_VT;CL;1992;2014;USEPA, 1993 Method 300.0;USEPA. 1993. Methods for the determination of inorganic substances in envrionmental samples. A/600/R-93/100
LTM_VT;SO4;1992;2014;USEPA, 1993 Method 300.0;USEPA. 1993. Methods for the determination of inorganic substances in envrionmental samples. A/600/R-93/100
LTM_VT;AL_MON;1992;2014;"USEPA, 1994 Method 200.15; Rogeberg and Henriksen, 1985; Driscoll, 1984";"USEPA. 1994. Methods for the determination of metals in envrionmental samples. EPA/ 600/R-94/111. Rogeberg, E.J.S., and A. Henriksen.; An automated method for fractionation and determination of aluminum species in fresh-waters. Vatten 1985, 41, pp. 48-53. Driscoll, C.T. A procedure for the fractionization of aqueous aluminum in dilute acidic waters. International Journal of Envrionmental Analytical Chemistry. 1984, 16, pp 267-283."
LTM_VT;AL_ORG;1992;2014;"USEPA, 1994 Method 200.15; Rogeberg and Henriksen, 1985; Driscoll, 1984";"USEPA. 1994. Methods for the determination of metals in envrionmental samples. EPA/ 600/R-94/111. Rogeberg, E.J.S., and A. Henriksen.; An automated method for fractionation and determination of aluminum species in fresh-waters. Vatten 1985, 41, pp. 48-53. Driscoll, C.T. A procedure for the fractionization of aqueous aluminum in dilute acidic waters. International Journal of Envrionmental Analytical Chemistry. 1984, 16, pp 267-283."
LTM_VT;MG;1992;2014;USEPA, 2007 Method 6010C;USEPA. 2007. Test Methods for Evaluating Solid Wastes, (SW846).
LTM_VT;K;1992;2014;USEPA, 2007 Method 6010C;USEPA. 2007. Test Methods for Evaluating Solid Wastes, (SW846).
LTM_VT;CA;1992;2014;USEPA, 2007 Method 6010C;USEPA. 2007. Test Methods for Evaluating Solid Wastes, (SW846).
LTM_VT;AL_TL;1992;2014;USEPA, 2007 Method 6010C;USEPA. 2007. Test Methods for Evaluating Solid Wastes, (SW846).
LTM_VT;Inconnu;1992;2014;USEPA, 2007 Method 6010C;USEPA. 2007. Test Methods for Evaluating Solid Wastes, (SW846).
LTM_VT;PH_EQ;1992;2014;USEPA. 1987 Section 5.5.3;USEPA. 1987. Handbook of methods for acid depostion studies. Laboratory analyses for surface waters chemistry. EPA-600/4-87-026.
LTM_VT;AL_TD;1992;2014;Unknown;Unknown
LTM_VT;P_TL;1992;2014;Unknown;Unknown
LTM_ME;COLOR_TRU;2005;2009;EPA 110.2;Spectrophotometer, 457.5 nm. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.
LTM_ME;COND;2005;2009;EPA 120.1, EPA 23.0;Wheatstone bridge. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983. Handbook of Methods for Acid Deposition Studies:  Laboratory Analysis For Surface Water Chemistry, EPA 600/4-87-026, 1987.
LTM_ME;AL_TD;2005;2009;EPA 200.9;AAS with graphite furnace. Methods for the Determination of Metals in Environmental Samples, EPA 600/4-91/010, 1991, Supplement 1, EPA 600/R-94/111, 1994.
LTM_ME;CA;2005;2009;EPA 215.1;AAS with N20-acetylene flame. Methods for Chemical Analysis of Water and Wastes, EPA 600/4-79-020, 1979, Revised 1983.
